trade_date,signal_month,strategy_type,selected_expression,held_contract,front_contract,forward_contract,target_position,effective_leverage,hands,daily_pnl,trade_cost,equity,mm_index,dominant_state,trade_direction,daily_return,cum_return,drawdown
2019-04-01,2019-03-01,single_contract,light_rf_single_leg_model,JD1905.DCE,,,1.0,0.5,28.0,0.0,224.0,999776.0,90.625,成本支撑,long_single,-0.00022400000000000198,-0.00022400000000000198,0.0
2019-04-02,2019-03-01,single_contract,light_rf_single_leg_model,JD1905.DCE,,,1.0,0.5,28.0,-2380.0,0.0,997396.0,90.625,成本支撑,long_single,-0.002380533239445648,-0.0026040000000000507,-0.002380533239445648
2019-04-03,2019-03-01,single_contract,light_rf_single_leg_model,JD1905.DCE,,,1.0,0.5,28.0,1260.0,0.0,998656.0,90.625,成本支撑,long_single,0.0012632896061344212,-0.0013440000000000119,-0.0011202509362097102
2019-04-04,2019-03-01,single_contract,light_rf_single_leg_model,JD1905.DCE,,,1.0,0.5,28.0,3500.0,0.0,1002156.0,90.625,成本支撑,long_single,0.0035047103306844463,0.0021560000000000468,0.0
2019-04-08,2019-03-01,single_contract,light_rf_single_leg_model,JD1905.DCE,,,1.0,0.5,28.0,7000.0,0.0,1009156.0,90.625,成本支撑,long_single,0.006984940468350187,0.009155999999999942,0.0
2019-04-09,2019-03-01,single_contract,light_rf_single_leg_model,JD1905.DCE,,,1.0,0.5,28.0,-4200.0,0.0,1004956.0,90.625,成本支撑,long_single,-0.00416189370127118,0.0049559999999999604,-0.00416189370127118
2019-04-10,2019-03-01,single_contract,light_rf_single_leg_model,JD1905.DCE,,,1.0,0.5,28.0,980.0,0.0,1005936.0,90.625,成本支撑,long_single,0.0009751670719913008,0.005935999999999941,-0.003190785170974597
2019-04-11,2019-03-01,single_contract,light_rf_single_leg_model,JD1905.DCE,,,1.0,0.5,28.0,560.0,0.0,1006496.0,90.625,成本支撑,long_single,0.0005566954557745252,0.006496000000000057,-0.0026358660108051213
2019-04-12,2019-03-01,single_contract,light_rf_single_leg_model,JD1905.DCE,,,1.0,0.5,28.0,5880.0,0.0,1012376.0,90.625,成本支撑,long_single,0.005842050042921265,0.012375999999999943,0.0
2019-04-15,2019-03-01,single_contract,light_rf_single_leg_model,JD1905.DCE,,,1.0,0.5,28.0,20020.0,0.0,1032396.0,90.625,成本支撑,long_single,0.019775261365342578,0.03239600000000009,0.0
2019-04-16,2019-03-01,single_contract,light_rf_single_leg_model,JD1905.DCE,,,1.0,0.5,28.0,-840.0,0.0,1031556.0,90.625,成本支撑,long_single,-0.0008136412771843071,0.03155599999999992,-0.0008136412771843071
2019-04-17,2019-03-01,single_contract,light_rf_single_leg_model,JD1905.DCE,,,1.0,0.5,28.0,-140.0,0.0,1031416.0,90.625,成本支撑,long_single,-0.00013571730473183052,0.03141600000000011,-0.0009492481567150435
